time,open,high,low,close,Volume
2025-03-21 18:17:00,164.1000,164.1000,164.1000,164.1000,15
2025-03-21 18:18:00,164.3500,164.3500,164.1000,164.1000,189
2025-03-21 18:19:00,164.2500,164.2500,164.1000,164.1000,1021
2025-03-21 18:20:00,164.2000,164.3000,164.1100,164.1100,19
2025-03-21 18:21:00,164.1500,164.2500,164.1100,164.2500,827
2025-03-21 18:22:00,164.3475,164.3500,164.2500,164.2800,190
2025-03-21 18:23:00,164.3000,164.3500,164.2500,164.3000,62
2025-03-21 18:24:00,164.3000,164.3500,164.2500,164.3500,190
2025-03-21 18:26:00,164.2500,164.2900,164.2500,164.2900,9
2025-03-21 18:27:00,164.2500,164.3000,164.2500,164.3000,425
2025-03-21 18:28:00,164.2900,164.3500,164.2900,164.3500,617
2025-03-21 18:29:00,164.3000,164.3600,164.3000,164.3100,62
2025-03-21 18:30:00,164.3000,164.3400,164.3000,164.3300,16
2025-03-21 18:31:00,164.3600,164.3600,164.3000,164.3400,40
2025-03-21 18:32:00,164.3600,164.3600,164.3000,164.3000,372
2025-03-21 18:33:00,164.3300,164.3300,164.3300,164.3300,5
2025-03-21 18:34:00,164.3001,164.3001,164.3000,164.3000,41
2025-03-21 18:35:00,164.3028,164.3300,164.3000,164.3300,6045
2025-03-21 18:36:00,164.3300,164.3300,164.3016,164.3300,6243
2025-03-21 18:37:00,164.3600,164.3600,164.3000,164.3300,25
2025-03-21 18:38:00,164.3019,164.3200,164.3000,164.3200,34
2025-03-21 18:39:00,164.3200,164.3200,164.3000,164.3000,1030
2025-03-21 18:41:00,164.3600,164.3600,164.3001,164.3400,60
2025-03-21 18:42:00,164.3585,164.3585,164.3001,164.3001,134
2025-03-21 18:43:00,164.3000,164.3100,164.3000,164.3015,46
2025-03-21 18:44:00,164.3400,164.3400,164.3400,164.3400,6
2025-03-21 18:45:00,164.3400,164.3600,164.3200,164.3200,33
2025-03-21 18:46:00,164.3585,164.3585,164.3400,164.3400,22
2025-03-21 18:47:00,164.3600,164.3600,164.3000,164.3000,73
2025-03-21 18:48:00,164.3400,164.3600,164.3400,164.3400,17
2025-03-21 18:49:00,164.3000,164.3600,164.3000,164.3600,41
2025-03-21 18:50:00,164.3000,164.3400,164.3000,164.3400,8
2025-03-21 18:51:00,164.3000,164.3600,164.3000,164.3600,27
2025-03-21 18:52:00,164.3000,164.3600,164.3000,164.3100,75
2025-03-21 18:53:00,164.3400,164.3599,164.3000,164.3400,238
2025-03-21 18:54:00,164.3300,164.3500,164.3100,164.3500,14
2025-03-21 18:55:00,164.3400,164.4100,164.3000,164.4000,913
2025-03-21 18:56:00,164.4000,164.4000,164.4000,164.4000,905
2025-03-21 18:57:00,164.4100,164.4100,164.4000,164.4000,475
2025-03-21 18:58:00,164.3025,164.4000,164.3025,164.3900,33
2025-03-21 18:59:00,164.3800,164.3800,164.3003,164.3003,255
2025-03-21 19:00:00,164.3500,164.4000,164.3012,164.3500,127
2025-03-21 19:01:00,164.4000,164.4000,164.4000,164.4000,1
2025-03-21 19:02:00,164.3000,164.3100,164.3000,164.3100,61
2025-03-21 19:03:00,164.3100,164.4000,164.3000,164.4000,735
2025-03-21 19:04:00,164.3500,164.4000,164.3000,164.3500,1450
2025-03-21 19:05:00,164.4000,164.4000,164.3000,164.3000,39
2025-03-21 19:06:00,164.3000,164.3006,164.3000,164.3006,490
2025-03-21 19:07:00,164.3000,164.4000,164.3000,164.3100,84
2025-03-21 19:08:00,164.3000,164.4000,164.3000,164.3000,49
2025-03-21 19:09:00,164.3000,164.4000,164.3000,164.4000,315
2025-03-21 19:10:00,164.3400,164.4000,164.3000,164.3400,140
2025-03-21 19:12:00,164.3016,164.4000,164.3000,164.4000,40
2025-03-21 19:13:00,164.3400,164.3400,164.3000,164.3000,23
2025-03-21 19:14:00,164.4000,164.4000,164.3000,164.3000,110
2025-03-21 19:15:00,164.3000,164.4000,164.3000,164.3700,436
2025-03-21 19:16:00,164.4000,164.4000,164.4000,164.4000,1
2025-03-21 19:17:00,164.3400,164.3987,164.3400,164.3987,21
2025-03-21 19:18:00,164.3348,164.3348,164.3025,164.3025,200
2025-03-21 19:19:00,164.3700,164.4000,164.3276,164.3600,167
2025-03-21 19:20:00,164.3000,164.3600,164.3000,164.3600,18
2025-03-21 19:21:00,164.3900,164.3933,164.3900,164.3933,5
2025-03-21 19:22:00,164.3900,164.4000,164.3900,164.4000,13
2025-03-21 19:23:00,164.3000,164.4000,164.3000,164.3300,54
2025-03-21 19:24:00,164.3900,164.3900,164.3000,164.3000,11
2025-03-21 19:25:00,164.4000,164.4000,164.3001,164.3001,225
2025-03-21 19:26:00,164.4000,164.4000,164.3010,164.4000,110
2025-03-21 19:27:00,164.3000,164.3038,164.3000,164.3015,240
2025-03-21 19:28:00,164.3015,164.4000,164.3015,164.3600,111
2025-03-21 19:29:00,164.4000,164.4000,164.3300,164.3300,9
2025-03-21 19:30:00,164.3600,164.3600,164.3000,164.3460,139
2025-03-21 19:31:00,164.3200,164.3200,164.3100,164.3100,10
2025-03-21 19:32:00,164.3000,164.3000,164.3000,164.3000,26
2025-03-21 19:33:00,164.3000,164.3500,163.9900,164.3000,11618
2025-03-21 19:34:00,164.3500,164.3500,164.3000,164.3000,924
2025-03-21 19:35:00,164.3000,164.3500,164.3000,164.3000,133
2025-03-21 19:36:00,164.3300,164.3500,164.3300,164.3500,8
2025-03-21 19:37:00,164.3500,164.3500,164.3500,164.3500,3
2025-03-21 19:38:00,164.3001,164.3500,164.3001,164.3499,57
2025-03-21 19:39:00,164.3300,164.3500,164.3000,164.3300,120
2025-03-21 19:40:00,164.3500,164.3500,164.3350,164.3350,19
2025-03-21 19:41:00,164.3300,164.3500,164.3300,164.3500,16
2025-03-21 19:42:00,164.3000,164.3500,164.3000,164.3400,90
2025-03-21 19:43:00,164.3500,164.3500,164.3000,164.3000,431
2025-03-21 19:44:00,164.3400,164.3500,164.3019,164.3019,179
2025-03-21 19:45:00,164.3400,164.3500,164.3400,164.3500,115
2025-03-21 19:46:00,164.3000,164.3012,164.3000,164.3012,25
2025-03-21 19:47:00,164.3400,164.3500,164.3000,164.3000,646
2025-03-21 19:48:00,164.3000,164.3012,164.3000,164.3012,3
2025-03-21 19:49:00,164.3000,164.3200,164.3000,164.3200,95
2025-03-21 19:50:00,164.3100,164.3380,164.3100,164.3380,62
2025-03-21 19:51:00,164.3300,164.3400,164.3000,164.3000,115
2025-03-21 19:52:00,164.3000,164.3500,164.3000,164.3200,1107
2025-03-21 19:53:00,164.3400,164.3500,164.3018,164.3500,139
2025-03-21 19:54:00,164.3300,164.3300,164.3300,164.3300,44
2025-03-21 19:55:00,164.3482,164.3482,164.3482,164.3482,200
2025-03-21 19:56:00,164.3017,164.3500,164.3000,164.3300,85
2025-03-21 19:57:00,164.3300,164.3500,164.3012,164.3500,216
2025-03-21 19:58:00,164.3100,164.3400,164.3000,164.3400,367
2025-03-21 19:59:00,164.3000,164.3299,164.3000,164.3100,939
